user	instance_id	displayed_text	textbox_input:::text_box	span_annotation:::Values	span_annotation:::Research Values
1	1	With the popularity of smartphones, we have witnessed the rapid proliferation of multimodal posts on various social media platforms. We observe that the multimodal sentiment expression has specific global characteristics, such as the interdependencies of objects or scenes within the image. However, most previous studies only considered the representation of a single image-text post and failed to capture the global co-occurrence characteristics of the dataset. In this paper, we propose Multi-channel Graph Neural Networks with Sentiment-awareness (MGNNS) for image-text sentiment detection. Specifically, we first encode different modalities to capture hidden representations. Then, we introduce multi-channel graph neural networks to learn multimodal representations based on the global characteristics of the dataset. Finally, we implement multimodal in-depth fusion with the multi-head attention mechanism to predict the sentiment of image-text pairs. Extensive experiments conducted on three publicly available datasets demonstrate the effectiveness of our approach for multimodal sentiment detection.	"Universality
Generalization
Efficiency
Rich annotations
Effectiveness
"	[]	[{'start': 195, 'end': 255, 'span': 'desire a single machine that can handle diverse new problems', 'annotation': 'Research Values'}, {'start': 340, 'end': 356, 'span': 'a unified solver', 'annotation': 'Research Values'}, {'start': 538, 'end': 611, 'span': 'generalize across domains with only a handful of domain-specific examples', 'annotation': 'Research Values'}, {'start': 707, 'end': 768, 'span': 'transforming is unnecessary if we can obtain rich annotations', 'annotation': 'Research Values'}, {'start': 860, 'end': 884, 'span': 'insufficient annotations', 'annotation': 'Research Values'}, {'start': 886, 'end': 899, 'span': 'Universal NLP', 'annotation': 'Research Values'}, {'start': 980, 'end': 989, 'span': 'Universal', 'annotation': 'Research Values'}, {'start': 1108, 'end': 1165, 'span': 'work well on new entailment domains in a few-shot setting', 'annotation': 'Research Values'}, {'start': 1171, 'end': 1193, 'span': 'show its effectiveness', 'annotation': 'Research Values'}, {'start': 1197, 'end': 1213, 'span': 'a unified solver', 'annotation': 'Research Values'}]
1	0	Our understanding of reinforcement learning (RL) has been shaped by theoretical and empirical results that were obtained decades ago using tabular representations and linear function approximators. These results suggest that RL methods that use temporal differencing (TD) are superior to direct Monte Carlo estimation (MC). How do these results hold up in deep RL, which deals with perceptually complex environments and deep nonlinear models? In this paper, we re-examine the role of TD in modern deep RL, using specially designed environments that control for specific factors that affect performance, such as reward sparsity, reward delay, and the perceptual complexity of the task. When comparing TD with infinite-horizon MC, we are able to reproduce classic results in modern settings. Yet we also find that finite-horizon MC is not inferior to TD, even when rewards are sparse or delayed. This makes MC a viable alternative to TD in deep RL.	"Performance
Reproducibility
Understanding phenonemon
"	[]	[{'start': 379, 'end': 410, 'span': 'the highest-scoring translation', 'annotation': 'Research Values'}, {'start': 471, 'end': 481, 'span': 'inadequacy', 'annotation': 'Research Values'}, {'start': 617, 'end': 626, 'span': 'reproduce', 'annotation': 'Research Values'}, {'start': 1028, 'end': 1131, 'span': 'advocate for the use of decision rules that take into account the translation distribution holistically', 'annotation': 'Research Values'}, {'start': 1200, 'end': 1219, 'span': 'competitive results', 'annotation': 'Research Values'}, {'start': 1220, 'end': 1310, 'span': 'confirming that NMT models do capture important aspects of translation well in expectation', 'annotation': 'Research Values'}]
1	3	Many online personalization platforms today are recommending heterogeneous contents in a multi-sided marketplace consisting of consumers, merchants and other partners. For a recommender system to be successful in these contexts, it faces two main challenges. First, each side in the marketplace has different and potentially conflicting utilities. Recommending for a multi-sided marketplace therefore entails jointly optimizing multiple objectives with trade-offs. Second, the off-the-shelf recommendation algorithms are not applicable to the heterogeneous content space, where a recommendation item could be an aggregation of other recommendation items. In this work, we develop a general framework for recommender systems in a multi-sided marketplace with heterogeneous and hierarchical contents. We propose a constrained optimization framework with machine learning models for each objective as inputs, and a probabilistic structural model for users’ engagement patterns on heterogeneous contents. Our proposed structural modeling approach ensures consistent user experience across different levels of aggregation of the contents, and provides levels of transparency to the merchants and content providers. We further develop an efficient optimization solution for ranking and recommendation in large-scale online systems in real time. We implement the framework at Uber Eats, one of the largest online food delivery platforms in the world and a three-sided marketplace consisting of eaters, restaurant partners and delivery partners. Online experiments demonstrate the effectiveness of our framework in ranking heterogeneous contents and optimizing for the three sides in the marketplace. Our framework has been deployed globally as the recommendation algorithm for Uber Eats’ homepage.	"performance
universality
quantitative evidence"	[]	[{'start': 136, 'end': 146, 'span': 'end-to-end', 'annotation': 'Research Values'}, {'start': 161, 'end': 177, 'span': 'jointly performs', 'annotation': 'Research Values'}, {'start': 218, 'end': 266, 'span': 'outperforms the previously reported best results', 'annotation': 'Research Values'}, {'start': 419, 'end': 456, 'span': 'alleviating the fundamental trade-off', 'annotation': 'Research Values'}, {'start': 560, 'end': 597, 'span': 'achieves state-of-the-art performance', 'annotation': 'Research Values'}, {'start': 717, 'end': 755, 'span': 'provides further support for the claim', 'annotation': 'Research Values'}]
1	2	Pre-trained Language Models (PLMs) have achieved remarkable performance gains across numerous downstream tasks in natural language understanding. Various Chinese PLMs have been successively proposed for learning better Chinese language representation. However, most current models use Chinese characters as inputs and are not able to encode semantic information contained in Chinese words. While recent pre-trained models incorporate both words and characters simultaneously, they usually suffer from deficient semantic interactions and fail to capture the semantic relation between words and characters. To address the above issues, we propose a simple yet effective PLM CLOWER, which adopts the Contrastive Learning Over Word and charactER representations. In particular, CLOWER implicitly encodes the coarse-grained information (i.e., words) into the fine-grained representations (i.e., characters) through contrastive learning on multi-grained information. CLOWER is of great value in realistic scenarios since it can be easily incorporated into any existing fine-grained based PLMs without modifying the production pipelines. Extensive experiments conducted on a range of downstream tasks demonstrate the superior performance of CLOWER over several state-of-the-art baselines.	"efficiency
speed
generalization
nov
performance"	[]	[{'start': 271, 'end': 317, 'span': 'suffer from the inefficiency of data synthesis', 'annotation': 'Research Values'}, {'start': 330, 'end': 356, 'span': 'data-free training process', 'annotation': 'Research Values'}, {'start': 367, 'end': 381, 'span': 'time-consuming', 'annotation': 'Research Values'}, {'start': 391, 'end': 425, 'span': 'inapplicable for large-scale tasks', 'annotation': 'Research Values'}, {'start': 457, 'end': 468, 'span': 'efficacious', 'annotation': 'Research Values'}, {'start': 515, 'end': 565, 'span': 'accelerate DFKD by a factor of orders of magnitude', 'annotation': 'Research Values'}, {'start': 601, 'end': 606, 'span': 'novel', 'annotation': 'Research Values'}, {'start': 619, 'end': 651, 'span': 'reuse the shared common features', 'annotation': 'Research Values'}, {'start': 741, 'end': 777, 'span': 'optimize a set of data independently', 'annotation': 'Research Values'}, {'start': 823, 'end': 894, 'span': 'seeks common features as the initialization for the fast data synthesis', 'annotation': 'Research Values'}, {'start': 942, 'end': 965, 'span': 'within only a few steps', 'annotation': 'Research Values'}, {'start': 967, 'end': 1027, 'span': 'significantly enhancing the efficiency of data-free training', 'annotation': 'Research Values'}, {'start': 1122, 'end': 1152, 'span': '0x and even 100x acceleration ', 'annotation': 'Research Values'}, {'start': 1158, 'end': 1210, 'span': 'preserving performances on par with state of the art', 'annotation': 'Research Values'}]
1	4	Private Webmail 2.0 (Pwm 2.0) improves upon the current state of the art by increasing the usability and practical security of secure email for ordinary users. More users are able to send and receive encrypted emails without mistakenly revealing sensitive information. In this paper we describe four user interface traits that positively affect the usability and security of Pwm 2.0. In a user study involving 51 participants we validate that these interface modifications result in high usability, few mistakes, and a strong understanding of the protection provided to secure email messages. We also show that the use of manual encryption has no effect on usability or security.	"understand social phenomenon
discover phinonenon
real-world impact
policy recommendations"	[]	[{'start': 505, 'end': 544, 'span': 'polarized and siloed into echo chambers', 'annotation': 'Research Values'}, {'start': 571, 'end': 610, 'span': 'understand the nature of this discourse', 'annotation': 'Research Values'}, {'start': 681, 'end': 755, 'span': 'healthcare decisions may affect their communities and the country at large', 'annotation': 'Research Values'}, {'start': 1037, 'end': 1089, 'span': 'examine the state of polarization around vaccination', 'annotation': 'Research Values'}, {'start': 1228, 'end': 1247, 'span': 'manually illustrate', 'annotation': 'Research Values'}, {'start': 1400, 'end': 1423, 'span': 'find the stark division', 'annotation': 'Research Values'}, {'start': 1710, 'end': 1739, 'span': 'discover a series of concerns', 'annotation': 'Research Values'}, {'start': 1905, 'end': 1953, 'span': 'recommend an ongoing surveillance of this debate', 'annotation': 'Research Values'}]
132	1	With the popularity of smartphones, we have witnessed the rapid proliferation of multimodal posts on various social media platforms. We observe that the multimodal sentiment expression has specific global characteristics, such as the interdependencies of objects or scenes within the image. However, most previous studies only considered the representation of a single image-text post and failed to capture the global co-occurrence characteristics of the dataset. In this paper, we propose Multi-channel Graph Neural Networks with Sentiment-awareness (MGNNS) for image-text sentiment detection. Specifically, we first encode different modalities to capture hidden representations. Then, we introduce multi-channel graph neural networks to learn multimodal representations based on the global characteristics of the dataset. Finally, we implement multimodal in-depth fusion with the multi-head attention mechanism to predict the sentiment of image-text pairs. Extensive experiments conducted on three publicly available datasets demonstrate the effectiveness of our approach for multimodal sentiment detection.	N/A	[]	[]
132	0	Our understanding of reinforcement learning (RL) has been shaped by theoretical and empirical results that were obtained decades ago using tabular representations and linear function approximators. These results suggest that RL methods that use temporal differencing (TD) are superior to direct Monte Carlo estimation (MC). How do these results hold up in deep RL, which deals with perceptually complex environments and deep nonlinear models? In this paper, we re-examine the role of TD in modern deep RL, using specially designed environments that control for specific factors that affect performance, such as reward sparsity, reward delay, and the perceptual complexity of the task. When comparing TD with infinite-horizon MC, we are able to reproduce classic results in modern settings. Yet we also find that finite-horizon MC is not inferior to TD, even when rewards are sparse or delayed. This makes MC a viable alternative to TD in deep RL.	N/A	[]	[]
132	3	Many online personalization platforms today are recommending heterogeneous contents in a multi-sided marketplace consisting of consumers, merchants and other partners. For a recommender system to be successful in these contexts, it faces two main challenges. First, each side in the marketplace has different and potentially conflicting utilities. Recommending for a multi-sided marketplace therefore entails jointly optimizing multiple objectives with trade-offs. Second, the off-the-shelf recommendation algorithms are not applicable to the heterogeneous content space, where a recommendation item could be an aggregation of other recommendation items. In this work, we develop a general framework for recommender systems in a multi-sided marketplace with heterogeneous and hierarchical contents. We propose a constrained optimization framework with machine learning models for each objective as inputs, and a probabilistic structural model for users’ engagement patterns on heterogeneous contents. Our proposed structural modeling approach ensures consistent user experience across different levels of aggregation of the contents, and provides levels of transparency to the merchants and content providers. We further develop an efficient optimization solution for ranking and recommendation in large-scale online systems in real time. We implement the framework at Uber Eats, one of the largest online food delivery platforms in the world and a three-sided marketplace consisting of eaters, restaurant partners and delivery partners. Online experiments demonstrate the effectiveness of our framework in ranking heterogeneous contents and optimizing for the three sides in the marketplace. Our framework has been deployed globally as the recommendation algorithm for Uber Eats’ homepage.	N/A	[]	[]
132	2	Pre-trained Language Models (PLMs) have achieved remarkable performance gains across numerous downstream tasks in natural language understanding. Various Chinese PLMs have been successively proposed for learning better Chinese language representation. However, most current models use Chinese characters as inputs and are not able to encode semantic information contained in Chinese words. While recent pre-trained models incorporate both words and characters simultaneously, they usually suffer from deficient semantic interactions and fail to capture the semantic relation between words and characters. To address the above issues, we propose a simple yet effective PLM CLOWER, which adopts the Contrastive Learning Over Word and charactER representations. In particular, CLOWER implicitly encodes the coarse-grained information (i.e., words) into the fine-grained representations (i.e., characters) through contrastive learning on multi-grained information. CLOWER is of great value in realistic scenarios since it can be easily incorporated into any existing fine-grained based PLMs without modifying the production pipelines. Extensive experiments conducted on a range of downstream tasks demonstrate the superior performance of CLOWER over several state-of-the-art baselines.	N/A	[]	[]
132	4	Private Webmail 2.0 (Pwm 2.0) improves upon the current state of the art by increasing the usability and practical security of secure email for ordinary users. More users are able to send and receive encrypted emails without mistakenly revealing sensitive information. In this paper we describe four user interface traits that positively affect the usability and security of Pwm 2.0. In a user study involving 51 participants we validate that these interface modifications result in high usability, few mistakes, and a strong understanding of the protection provided to secure email messages. We also show that the use of manual encryption has no effect on usability or security.	N/A	[]	[]
